sale_id,date,sale_type,customer_name,product_name,size,quantity_sold
1,2023-01-01,Retail,Sewmi Stores,Chili Powder (Steam Less),500g,4
18,2023-01-01,Retail,Pragathi Stores,Chili Powder (Steam Less),1kg,16
17,2023-01-01,Retail,Ranjith Stores,Black Pepper Powder,1kg,14
16,2023-01-01,Wholesale,Laugfs Super,Curry Powder,1kg,63
15,2023-01-01,Retail,New City Stores,Chili Powder (Steam Less),100g,1
13,2023-01-01,Retail,Yohan Super,Black Pepper Powder,100g,11
12,2023-01-01,Retail,Sewmi Stores,Coriander Powder,250g,4
11,2023-01-01,Retail,Jagath Store,Coriander Powder,1kg,3
10,2023-01-01,Wholesale,Keells Super,Curry Powder,250g,160
14,2023-01-01,Wholesale,Arpico Super Centre,Black Pepper Powder,250g,67
8,2023-01-01,Retail,CO-OP Big City Kuliyapitiya,Chili Powder (Steam Less),1kg,13
7,2023-01-01,Retail,Rathnayake Stores,Black Pepper Powder,1kg,18
6,2023-01-01,Retail,Rathnayake Stores,Turmeric Powder,50g,13
5,2023-01-01,Retail,Shantha Super Stores,Coriander Powder,250g,12
4,2023-01-01,Retail,Italian Mart Kuliyapitiya,Coriander Powder,100g,2
3,2023-01-01,Wholesale,Restaurant Suppliers Lanka,Turmeric Powder,500g,134
2,2023-01-01,Retail,Italian Mart Kuliyapitiya,Curry Powder,50g,4
9,2023-01-01,Retail,Piyal Stores,Black Pepper Powder,500g,2
30,2023-01-02,Retail,Gothama Stores,Black Pepper Powder,50g,10
31,2023-01-02,Retail,Kalana Stores,Coriander Powder,250g,13
32,2023-01-02,Retail,New City Stores,Coriander Powder,500g,3
36,2023-01-02,Retail,Italian Mart Kuliyapitiya,Black Pepper Powder,500g,14
34,2023-01-02,Retail,Sagara Super,Chili Powder (Steam Less),250g,4
35,2023-01-02,Retail,Sagara Super,Black Pepper Powder,1kg,7
29,2023-01-02,Retail,CO-OP Big City Kuliyapitiya,Turmeric Powder,500g,18
33,2023-01-02,Retail,Gothama Stores,Chili Powder (Steam Less),250g,20
28,2023-01-02,Retail,SonIro Mini Market,Turmeric Powder,100g,17
23,2023-01-02,Retail,Yohan Super,Black Pepper Powder,1kg,9
26,2023-01-02,Retail,Italian Mart Kuliyapitiya,Curry Powder,500g,2
25,2023-01-02,Retail,Kuliyapitiya Stores,Chili Powder (Steam Less),500g,3
24,2023-01-02,Wholesale,Cargills Food City,Coriander Powder,1kg,166
22,2023-01-02,Retail,Gihan Super,Coriander Powder,250g,15
21,2023-01-02,Retail,Rathnayake Stores,Chili Powder (Steam Less),1kg,7
20,2023-01-02,Wholesale,Cargills Food City,Turmeric Powder,50g,115
19,2023-01-02,Wholesale,Hotel Suppliers Lanka,Coriander Powder,1kg,146
27,2023-01-02,Retail,Yohan Super,Turmeric Powder,100g,19
