sale_id,date,sale_type,customer_name,product_name,size,quantity_sold
6571,2024-01-01,Retail,Italian Mart Kuliyapitiya,Curry Powder,250g,6
6572,2024-01-01,Wholesale,Keells Super,Chili Powder (Steam Less),100g,267
6573,2024-01-01,Retail,Family Mart,Chili Powder (Steam Less),50g,16
6574,2024-01-01,Wholesale,Restaurant Suppliers Lanka,Turmeric Powder,1kg,203
6575,2024-01-01,Retail,SonIro Mini Market,Curry Powder,1kg,9
6576,2024-01-01,Retail,Pallapitiya Stores,Chili Powder (Steam Less),1kg,14
6577,2024-01-01,Retail,Italian Mart Kuliyapitiya,Turmeric Powder,100g,2
6578,2024-01-01,Retail,Gothama Stores,Black Pepper Powder,25g,11
6579,2024-01-01,Wholesale,Cargills Food City,Black Pepper Powder,1kg,275
6580,2024-01-01,Retail,Kuliyapitiya Stores,Black Pepper Powder,500g,11
6581,2024-01-01,Retail,Village Mart,Black Pepper Powder,1kg,6
6582,2024-01-01,Retail,Shantha Super Stores,Coriander Powder,100g,15
6583,2024-01-01,Wholesale,Arpico Super Centre,Black Pepper Powder,25g,194
6584,2024-01-01,Wholesale,Sathosa,Coriander Powder,100g,33
6585,2024-01-01,Retail,Gothama Stores,Turmeric Powder,1kg,6
6586,2024-01-01,Retail,Yohan Super,Coriander Powder,1kg,6
6587,2024-01-01,Retail,Shantha Super Stores,Chili Powder (Steam Less),250g,4
6588,2024-01-01,Retail,Yohan Super,Chili Powder (Steam Less),250g,14
6589,2024-01-02,Retail,Pallapitiya Stores,Coriander Powder,100g,17
6590,2024-01-02,Retail,Sagara Super,Chili Powder (Steam Less),250g,12
6591,2024-01-02,Wholesale,Sathosa,Curry Powder,500g,289
6592,2024-01-02,Wholesale,Hotel Suppliers Lanka,Black Pepper Powder,25g,272
6593,2024-01-02,Retail,Piyal Stores,Curry Powder,50g,17
6594,2024-01-02,Retail,Kalana Stores,Chili Powder (Steam Less),50g,19
6595,2024-01-02,Retail,New City Stores,Curry Powder,100g,2
6596,2024-01-02,Wholesale,Cargills Food City,Turmeric Powder,100g,266
6597,2024-01-02,Retail,Family Mart,Curry Powder,500g,17
6598,2024-01-02,Retail,Pragathi Stores,Black Pepper Powder,500g,2
6599,2024-01-02,Wholesale,Rancrisp,Black Pepper Powder,25g,244
6600,2024-01-02,Retail,Shantha Super Stores,Turmeric Powder,1kg,3
6601,2024-01-02,Retail,Yohan Super,Turmeric Powder,250g,16
6602,2024-01-02,Retail,Shantha Super Stores,Curry Powder,1kg,5
6603,2024-01-02,Retail,Kuliyapitiya Stores,Chili Powder (Steam Less),1kg,16
6604,2024-01-02,Retail,New City Stores,Black Pepper Powder,25g,6
6605,2024-01-02,Retail,Ranjith Stores,Curry Powder,50g,7
6606,2024-01-02,Wholesale,Glomark,Curry Powder,50g,177
6607,2024-01-03,Retail,SonIro Mini Market,Black Pepper Powder,50g,12
6608,2024-01-03,Retail,SonIro Mini Market,Chili Powder (Steam Less),50g,16
6609,2024-01-03,Retail,Pallapitiya Stores,Curry Powder,1kg,14
6610,2024-01-03,Retail,Kuliyapitiya Stores,Black Pepper Powder,500g,12
6611,2024-01-03,Retail,Family Mart,Curry Powder,50g,6
6612,2024-01-03,Retail,Piyal Stores,Turmeric Powder,50g,13
6613,2024-01-03,Retail,Shantha Super Stores,Coriander Powder,500g,4
6614,2024-01-03,Wholesale,Laugfs Super,Curry Powder,100g,219
6615,2024-01-03,Retail,Sewmi Stores,Chili Powder (Steam Less),100g,20
6616,2024-01-03,Retail,SonIro Mini Market,Curry Powder,50g,6
6617,2024-01-03,Retail,Rathnayake Stores,Chili Powder (Steam Less),250g,9
